"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"T8,""SOT23_3L_ReflowSoldering"",""4090mil"",""1720mil"",""4090mil"",""1720mil"",""4046.693mil"",""1758.386mil"",""T"",""180.00"",""BC847C"""
"T7,""SOT23_3L_ReflowSoldering"",""4090mil"",""1470mil"",""4090mil"",""1470mil"",""4046.693mil"",""1508.386mil"",""T"",""180.00"",""BC847C"""
"T6,""SOT23_3L_ReflowSoldering"",""4673.75mil"",""2231.25mil"",""4673.75mil"",""2231.25mil"",""4630.443mil"",""2269.636mil"",""T"",""180.00"",""BC847C"""
"T5,""SOT23_3L_ReflowSoldering"",""5660mil"",""2130mil"",""5660mil"",""2130mil"",""5703.307mil"",""2091.614mil"",""T"",""360.00"",""BC847C"""
"T4,""DPAK_Specifique_1"",""5191.732mil"",""2087.2mil"",""5050mil"",""2087.2mil"",""5333.464mil"",""1996.649mil"",""T"",""360.00"",""NJD1718T4G"""
"T3,""SOT23_3L_ReflowSoldering"",""4090mil"",""1220mil"",""4090mil"",""1220mil"",""4046.693mil"",""1258.386mil"",""T"",""180.00"",""BC847C"""
"T2,""SOT23_3L_ReflowSoldering"",""5820mil"",""2130mil"",""5820mil"",""2130mil"",""5863.307mil"",""2091.614mil"",""T"",""0.00"",""BC847C"""
"T1,""DPAK_Specifique_1"",""2045.768mil"",""2409.301mil"",""1904.036mil"",""2409.301mil"",""2187.5mil"",""2318.75mil"",""T"",""360.00"",""NJD1718T4G"""
"RR3,""ARV241"",""1753mil"",""427mil"",""1753mil"",""427mil"",""1784.496mil"",""379.756mil"",""T"",""90.00"",""RES_4XR0603_IND_5%_22R*"""
"RR2,""ARV241"",""1753.504mil"",""587.244mil"",""1753.504mil"",""587.244mil"",""1785mil"",""540mil"",""T"",""90.00"",""RES_4XR0603_IND_5%_22R*"""
"RR1,""ARV241"",""2950mil"",""605mil"",""2950mil"",""605mil"",""2902.756mil"",""573.504mil"",""T"",""360.00"",""RES_4XR0603_IND_5%_22R*"""
"R208,""0603_ReflowSoldering_RES"",""7787.5mil"",""2025mil"",""7787.5mil"",""2025mil"",""7761.1mil"",""2025mil"",""T"",""360.00"",""RES_0603_1%_100PPM_68K"""
"R207,""0603_ReflowSoldering_RES"",""8065mil"",""2025mil"",""8065mil"",""2025mil"",""8091.4mil"",""2025mil"",""T"",""180.00"",""RES_0603_1%_100PPM_68K"""
"R205,""0603_ReflowSoldering_RES"",""8065mil"",""1955mil"",""8065mil"",""1955mil"",""8038.6mil"",""1955mil"",""T"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R204,""0603_ReflowSoldering_RES"",""7787.5mil"",""1937.5mil"",""7787.5mil"",""1937.5mil"",""7813.9mil"",""1937.5mil"",""T"",""180.00"",""RES_0603_1%_100PPM_0R"""
"R202,""0603_ReflowSoldering_RES"",""8300mil"",""2137.5mil"",""8300mil"",""2137.5mil"",""8300mil"",""2111.1mil"",""T"",""90.00"",""RES_0603_1%_100PPM_56K"""
"R201,""0603_ReflowSoldering_RES"",""218.75mil"",""2431.25mil"",""218.75mil"",""2431.25mil"",""218.75mil"",""2404.85mil"",""T"",""90.00"",""RES_0603_1%_100PPM_47K"""
"R199,""0603_ReflowSoldering_RES"",""243.75mil"",""2525mil"",""243.75mil"",""2525mil"",""270.15mil"",""2525mil"",""T"",""180.00"",""RES_0603_1%_100PPM_51R"""
"R198,""0603_ReflowSoldering_RES"",""387.5mil"",""2650mil"",""387.5mil"",""2650mil"",""413.9mil"",""2650mil"",""T"",""180.00"",""RES_0603_1%_100PPM_1K"""
"R197,""0603_ReflowSoldering_RES"",""318.75mil"",""2250mil"",""318.75mil"",""2250mil"",""292.35mil"",""2250mil"",""T"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R195,""RES_MOS3"",""0mil"",""2500mil"",""0mil"",""2500mil"",""0mil"",""2950mil"",""T"",""270.00"",""RES_MOS3_5%_300PPM_22K_700V"""
"R194,""0603_ReflowSoldering_RES"",""575mil"",""2275mil"",""575mil"",""2275mil"",""575mil"",""2248.6mil"",""T"",""90.00"",""RES_0603_1%_100PPM_4.7K"""
"R193,""0603_ReflowSoldering_RES"",""568.75mil"",""2775mil"",""568.75mil"",""2775mil"",""542.35mil"",""2775mil"",""T"",""360.00"",""RES_0603_1%_100PPM_1K"""
"R191,""0603_ReflowSoldering_RES"",""475mil"",""2562.5mil"",""475mil"",""2562.5mil"",""448.6mil"",""2562.5mil"",""T"",""360.00"",""RES_0603_1%_100PPM_51R"""
"R190,""0603_ReflowSoldering_RES"",""8375mil"",""2137.5mil"",""8375mil"",""2137.5mil"",""8375mil"",""2111.1mil"",""T"",""90.00"",""RES_0603_1%_100PPM_68K"""
"R189,""0603_ReflowSoldering_RES"",""8081.25mil"",""2406.25mil"",""8081.25mil"",""2406.25mil"",""8081.25mil"",""2379.85mil"",""T"",""90.00"",""RES_0603_1%_100PPM_12K"""
